V1.V,I(D1.nA),V(D),
0.152,1.0418170097359347e-7,0.1518958182990264,
0.153,1.0657009856201993e-7,0.15289342990143798,
0.154,1.0901115853476084e-7,0.15389098884146524,
0.155,1.115060362502085e-7,0.1548884939637498,
0.156,1.140559121556306e-7,0.15588594408784437,
0.157,1.1666199232052144e-7,0.15688333800767948,
0.158,1.193255089805556e-7,0.15788067449101945,
0.159,1.2204772109278283e-7,0.15887795227890722,
0.16,1.2482991490220252e-7,0.1598751700850978,
0.161,1.2767340451932952e-7,0.16087232659548067,
0.162,1.305795325098058e-7,0.1618694204674902,
0.163,1.3354967049530876e-7,0.1628664503295047,
0.164,1.3658521976739335e-7,0.1638634147802326,
0.165,1.396876119125201e-7,0.1648603123880875,
0.166,1.428583094503777e-7,0.16585714169054963,
0.167,1.4609880648458474e-7,0.16685390119351542,
0.168,1.494106293661035e-7,0.1678505893706339,
0.169,1.5279533737003192e-7,0.16884720466262998,
0.17,1.5625452338582923e-7,0.16984374547661418,
0.171,1.5978981462080878e-7,0.1708402101853792,
0.17200000000000001,1.6340287331742532e-7,0.1718365971266826,
0.17300000000000001,1.670953974851619e-7,0.17283290460251485,
0.17400000000000002,1.708691216456837e-7,0.17382913087835433,
0.17500000000000002,1.747258175936184e-7,0.1748252741824064,
0.176,1.7866729517096447e-7,0.17582133270482903,
0.177,1.8269540305726474e-7,0.17681730459694273,
0.178,1.8681202957440691e-7,0.17781318797042558,
0.179,1.9101910350757812e-7,0.17880898089649241,
0.18,1.9531859494087423e-7,0.17980468140505912,
0.181,1.9971251610975684e-7,0.18080028748389024,
0.182,2.042029222690811e-7,0.18179579707773091,
0.183,2.087919125778881e-7,0.1827912080874221,
0.184,2.1348163100026741e-7,0.18378651836899973,
0.185,2.1827426722392796e-7,0.18478172573277607,
0.186,2.231720575951446e-7,0.18577682794240485,
0.187,2.2817728607160692e-7,0.1867718227139284,
0.188,2.33292285192227e-7,0.18776670771480777,
0.189,2.385194370656818e-7,0.18876148056293432,
0.19,2.438611743761365e-7,0.18975613882562387,
0.191,2.4931998140800825e-7,0.190750680018592,
0.192,2.548983950887429e-7,0.19174510160491126,
0.193,2.605990060508545e-7,0.19273940099394915,
0.194,2.6642445971283847e-7,0.19373357554028717,
0.195,2.7237745737904163e-7,0.19472762254262097,
0.196,2.7846075735979415e-7,0.1957215392426402,
0.197,2.8467717611038724e-7,0.19671532282388962,
0.198,2.910295893906456e-7,0.19770897041060936,
0.199,2.975209334445117e-7,0.1987024790665555,
0.2,3.0415420619986366e-7,0.19969584579380015,
0.201,3.109324684893999e-7,0.2006890675315106,
0.202,3.178588452916187e-7,0.2016821411547084,
0.203,3.249365269935578e-7,0.20267506347300646,
0.20400000000000001,3.321687706745458e-7,0.20366783122932547,
0.20500000000000002,3.395589014110467e-7,0.20466044109858897,
0.20600000000000002,3.4711031360359913e-7,0.20565288968639642,
0.20700000000000002,3.5482647232515374e-7,0.20664517352767486,
0.20800000000000002,3.627109146918106e-7,0.2076372890853082,
0.209,3.707672512550664e-7,0.20862923274874492,
0.21,3.7899916741721e-7,0.20962100083258278,
0.211,3.8741042486817314e-7,0.21061258957513182,
0.212,3.960048630456403e-7,0.21160399513695435,
0.213,4.0478640061761273e-7,0.21259521359938238,
0.214,4.137590369879818e-7,0.21358624096301201,
0.215,4.229268538243625e-7,0.21457707314617563,
0.216,4.322940166098521e-7,0.21556770598339015,
0.217,4.418647762170769e-7,0.21655813522378292,
0.218,4.516434705059691e-7,0.21754835652949403,
0.219,4.6163452594405463e-7,0.21853836547405595,
0.22,4.718424592505821e-7,0.21952815754074942,
0.221,4.822718790634673e-7,0.22051772812093653,
0.222,4.929274876296908e-7,0.2215070725123703,
0.223,5.038140825185944e-7,0.2224961859174814,
0.224,5.149365583584365e-7,0.22348506344164157,
0.225,5.262999085961783e-7,0.22447370009140383,
0.226,5.3790922728017e-7,0.22546209077271984,
0.227,5.497697108652055e-7,0.2264502302891348,
0.228,5.61886660041172e-7,0.22743811333995884,
0.229,5.742654815836245e-7,0.22842573451841638,
0.23,5.869116902268435e-7,0.22941308830977317,
0.231,5.99830910559207e-7,0.2304001690894408,
0.232,6.130288789403804e-7,0.23138697112105963,
0.233,6.2651144544007e-7,0.23237348855455994,
0.234,6.402845757980947e-7,0.23335971542420192,
0.23500000000000001,6.54354353405634e-7,0.23434564564659438,
0.23600000000000002,6.687269813067109e-7,0.2353312730186933,
0.23700000000000002,6.834087842201298e-7,0.2363165912157799,
0.23800000000000002,6.984062105812039e-7,0.2373015937894188,
0.23900000000000002,7.137258346023301e-7,0.2382862741653977,
0.24,7.293743583526579e-7,0.23927062564164733,
0.241,7.4535861385569e-7,0.2402546413861443,
0.242,7.616855652044508e-7,0.24123831443479554,
0.243,7.783623106935034e-7,0.2422216376893065,
0.244,7.953960849669261e-7,0.24320460391503307,
0.245,8.127942611820538e-7,0.24418720573881794,
0.246,8.305643531872354e-7,0.24516943564681276,
0.247,8.487140177140251e-7,0.24615128598228597,
0.248,8.67251056581031e-7,0.24713274894341897,
0.249,8.861834189110018e-7,0.248113816581089,
0.25,9.055192033574078e-7,0.2490944807966426,
0.251,9.252666603413174e-7,0.2500747333396587,
0.252,9.454341942971567e-7,0.25105456580570285,
0.253,9.660303659244641e-7,0.25203396963407554,
0.254,9.870638944476374e-7,0.25301293610555237,
0.255,0.000001008543659878125,0.2539914563401219,
0.256,0.0000010304787052823894,0.2549695212947176,
0.257,0.0000010528782390490378,0.25594712176095097,
0.258,0.0000010757516371584508,0.25692424836284156,
0.259,0.0000010991084454494704,0.25790089155455054,
0.26,0.0000011229583818841427,0.25887704161811587,
0.261,0.0000011473113388064116,0.2598526886611936,
0.262,0.0000011721773851947615,0.26082782261480525,
0.263,0.0000011975667689067548,0.26180243323109326,
0.264,0.0000012234899189111915,0.2627765100810888,
0.265,0.0000012499574475092756,0.26375004255249074,
0.266,0.0000012769801525396307,0.2647230198474604,
0.267,0.0000013045690195659933,0.265695430980434,
0.268,0.000001332735224046422,0.2666672647759536,
0.269,0.0000013614901334788598,0.26763850986652116,
0.27,0.0000013908453095231032,0.2686091546904769,
0.271,0.0000014208125100951818,0.26957918748990484,
0.272,0.0000014514036914320405,0.270548596308568,
0.273,0.000001482631010122304,0.2715173689898777,
0.274,0.0000015145068251027906,0.27248549317489723,
0.275,0.00000154704369961578,0.27345295630038424,
0.276,0.000001580254403123149,0.2744197455968769,
0.277,0.0000016141519131782635,0.27538584808682176,
0.278,0.000001648749417246409,0.2763512505827536,
0.279,0.0000016840603144763766,0.27731593968552365,
0.28,0.0000017200982174145342,0.2782799017825855,
0.281,0.0000017568769536621121,0.2792431230463379,
0.28200000000000003,0.0000017944105674687627,0.28020558943253127,
0.28300000000000003,0.0000018327133212608372,0.2811672866787392,
0.28400000000000003,0.000001871799697099552,0.2821282003029005,
0.28500000000000003,0.000001911684398064828,0.2830883156019352,
0.28600000000000003,0.000001952382349562298,0.28404761765043773,
0.28700000000000003,0.0000019939087005473865,0.28500609129945265,
0.28800000000000003,0.0000020362788246640062,0.285963721175336,
0.289,0.000002079508321292556,0.2869204916787074,
0.29,0.000002123613016503545,0.28787638698349644,
0.291,0.0000021686089639120778,0.2888313910360879,
0.292,0.0000022145124454291953,0.2897854875545708,
0.293,0.0000022613399719043636,0.2907386600280956,
0.294,0.000002309108283656991,0.291690891716343,
0.295,0.0000023578343508893206,0.29264216564911066,
0.296,0.0000024075353739788085,0.2935924646260212,
0.297,0.0000024582287836425464,0.29454177121635744,
0.298,0.000002509932240972346,0.29549006775902764,
0.299,0.0000025626636373324297,0.29643733636266756,
0.3,0.0000026164410941168506,0.29738355890588314,
0.301,0.0000026712829623615763,0.2983287170376384,
0.302,0.000002727207822206257,0.29927279217779373,
0.303,0.000002784234482200665,0.3002157655177993,
0.304,0.0000028423819784512138,0.3011576180215488,
0.305,0.0000029016695736038267,0.30209833042639617,
0.306,0.000002962116755656219,0.3030378832443438,
0.307,0.0000030237432365973205,0.3039762567634027,
0.308,0.0000030865689508669527,0.30491343104913304,
0.309,0.0000031506140536342045,0.3058493859463658,
0.31,0.0000032158989188865175,0.3067841010811135,
0.311,0.0000032824441373275337,0.30771755586267246,
0.312,0.0000033502705140791013,0.3086497294859209,
0.313,0.0000034193990661823827,0.3095806009338176,
0.314,0.0000034898510198951293,0.31051014898010487,
0.315,0.000003561647807780011,0.31143835219222,
0.316,0.0000036348110655819444,0.31236518893441806,
0.317,0.000003709362628888824,0.3132906373711112,
0.318,0.000003785324529574752,0.31421467547042525,
0.319,0.000003862718992019731,0.3151372810079803,
0.32,0.000003941568429105092,0.3160584315708949,
0.321,0.000004021895437981981,0.316978104562018,
0.322,0.000004103722795607889,0.3178962772043921,
0.323,0.000004187073454052615,0.3188129265459474,
0.324,0.0000042719705355681595,0.31972802946443185,
0.325,0.00000435843732742397,0.32064156267257604,
0.326,0.000004446497276504425,0.3215535027234956,
0.327,0.000004536173983666902,0.3224638260163331,
0.328,0.000004627491197862599,0.3233725088021374,
0.329,0.000004720472810015309,0.3242795271899847,
0.33,0.0000048151428466642336,0.3251848571533358,
0.331,0.000004911525463363209,0.3260884745366368,
0.332,0.000005009644937845559,0.32699035506215446,
0.333,0.0000051095256629494215,0.3278904743370506,
0.334,0.000005211192139307985,0.32878880786069203,
0.335,0.000005314668967805969,0.32968533103219405,
0.336,0.00000541998084180495,0.33058001915819507,
0.337,0.000005527152539139823,0.3314728474608602,
0.338,0.000005636208913890772,0.33236379108610925,
0.339,0.00000574717488793286,0.33325282511206716,
0.34,0.000005860075442269131,0.3341399245577309,
0.341,0.0000059749356081508775,0.33502506439184915,
0.342,0.000006091780457990415,0.3359082195420096,
0.343,0.000006210635096071948,0.3367893649039281,
0.34400000000000003,0.000006331524649067222,0.3376684753509328,
0.34500000000000003,0.00000645447425636092,0.3385455257436391,
0.34600000000000003,0.000006579509060195776,0.33942049093980425,
0.34700000000000003,0.000006706654195640427,0.3402933458043596,
0.34800000000000003,0.00000683593478039296,0.34116406521960707,
0.34900000000000003,0.000006967375904425255,0.3420326240955748,
0.35000000000000003,0.0000071010026194773816,0.34289899738052265,
0.35100000000000003,0.000007236839928413508,0.3437631600715865,
0.352,0.000007374912774445574,0.3446250872255544,
0.353,0.000007515246030239009,0.34548475396976097,
0.354,0.00000765786448690664,0.34634213551309334,
0.355,0.000007802792842906913,0.34719720715709307,
0.356,0.0000079500556928519,0.3480499443071481,
0.357,0.000008099677516242909,0.3489003224837571,
0.358,0.000008251682666140237,0.34974831733385975,
0.359,0.000008406095357783861,0.3505939046422161,
0.36,0.00000856293965717514,0.35143706034282485,
0.361,0.000008722239469633465,0.3522777605303665,
0.362,0.000008884018528340476,0.3531159814716595,
0.363,0.000009048300382886454,0.35395169961711354,
0.364,0.000009215108387830795,0.3547848916121692,
0.365,0.00000938446569129292,0.35561553430870707,
0.366,0.000009556395223583647,0.35644360477641635,
0.367,0.0000097309196858959,0.3572690803141041,
0.368,0.000009908061539064206,0.3580919384609358,
0.369,0.000010087842992411167,0.35891215700758883,
0.37,0.000010270285992691697,0.3597297140073083,
0.371,0.00001045541221315105,0.36054458778684895,
0.372,0.000010643243042711747,0.36135675695728825,
0.373,0.000010833799575299508,0.3621662004247005,
0.374,0.000011027102599326488,0.3629728974006735,
0.375,0.000011223172587342845,0.36377682741265716,
0.376,0.000011422029685871249,0.36457797031412875,
0.377,0.000011623693705436367,0.36537630629456364,
0.378,0.000011828184110804108,0.3661718158891959,
0.379,0.000012035520011442146,0.36696447998855786,
